Metric,Sentence Num,Sentence Idx,Difference/Correlation,English Value,Japanese Value,English Timestamp,English Sentence,Japanese Timestamp,Japanese Sentence
Euclidean,1,613,0.816871166229248,"(1.1458888, 0.88162994, 0.92954475)","(0.35450947, 0.7444643, 0.78060573)","01:07:11,770 --> 01:07:13,440",Splendid!,"01:07:11,770 --> 01:07:13,440",好极了
Euclidean,2,640,0.7680826187133789,"(0.8205999, 0.82067037, 0.8144634)","(0.31684712, 0.42531148, 0.3903462)","01:11:19,560 --> 01:11:23,520",- What?  - Anything!,"01:11:19,560 --> 01:11:23,520",- 什么办法？  - 什么办法都行
Euclidean,3,641,0.7275742888450623,"(0.0436077, 0.85279155, 0.8371185)","(0.46992338, 0.42917877, 0.42703128)","01:11:24,150 --> 01:11:26,610",- Hurry up! - Swish and flick.,"01:11:24,150 --> 01:11:26,610",- 快点  - 挥和弹
Euclidean,4,1194,0.71803218126297,"(0.45704427, 0.4528971, 0.5402928)","(0.92327857, 0.8924863, 0.8642638)","02:18:13,820 --> 02:18:16,450",And the points stand thus:,"02:18:13,820 --> 02:18:16,450",各学院的分数如下
Euclidean,5,371,0.7157500386238098,"(0.151745, 0.4145004, 0.5238988)","(0.697331, 0.7972162, 0.78497857)","00:42:43,640 --> 00:42:47,940",...to everyone who does not wish to die a most painful death.,"00:42:43,640 --> 00:42:47,940",除非你想七窍流血 痛苦惨死
Euclidean,6,812,0.7031636834144592,"(0.44579864, 0.16698928, 0.3033168)","(0.41247517, 0.73697305, 0.71374)","01:36:32,200 --> 01:36:35,370",It does not do to dwell on dreams...,"01:36:32,200 --> 01:36:35,370",人不能活在梦里
Euclidean,7,918,0.6943426132202148,"(0.14068934, 0.44636625, 0.57248336)","(0.78107256, 0.664569, 0.72871554)","01:47:51,460 --> 01:47:56,840",A monstrous creature. It is a terrible crime to slay a unicorn.,"01:47:51,460 --> 01:47:56,840",一只怪物 杀死独角兽是滔天大罪
Euclidean,8,224,0.6926466822624207,"(0.61812013, 0.34182206, 0.46780682)","(0.2400766, 0.7938322, 0.8318527)","00:28:16,020 --> 00:28:19,940",...that we can expect great things from you.,"00:28:16,020 --> 00:28:19,940",你未来会有了不起的成就
Euclidean,9,88,0.688710629940033,"(0.41977802, 0.43229187, 0.345634)","(0.5687212, 0.8983884, 0.8302909)","00:12:11,810 --> 00:12:15,100","Daddy's gone mad, hasn't he?","00:12:11,810 --> 00:12:15,100",爸爸发疯了 是不是
Euclidean,10,469,0.6770524382591248,"(0.25802523, 0.0762992, 0.21471712)","(0.40523076, 0.57358116, 0.6499655)","00:53:16,400 --> 00:53:19,190","...is it, Mr. Potter?","00:53:16,400 --> 00:53:19,190",是不是啊 波特先生
Cosine,1,450,0.20840020024710026,"(0.45293102, 0.22844364, 0.38255543)","(0.16366464, 0.68235767, 0.72990227)","00:51:39,090 --> 00:51:42,180","However, for those select few...","00:51:39,090 --> 00:51:42,180",不过 那些出类拔萃..
Cosine,2,641,0.1882183856438132,"(0.0436077, 0.85279155, 0.8371185)","(0.46992338, 0.42917877, 0.42703128)","01:11:24,150 --> 01:11:26,610",- Hurry up! - Swish and flick.,"01:11:24,150 --> 01:11:26,610",- 快点  - 挥和弹
Cosine,3,224,0.18717751384093817,"(0.61812013, 0.34182206, 0.46780682)","(0.2400766, 0.7938322, 0.8318527)","00:28:16,020 --> 00:28:19,940",...that we can expect great things from you.,"00:28:16,020 --> 00:28:19,940",你未来会有了不起的成就
Cosine,4,890,0.1739277334214,"(0.53191155, 0.33180982, 0.40058208)","(0.19994727, 0.68239754, 0.69845754)","01:43:40,920 --> 01:43:43,300",Got to have your wits about you.,"01:43:40,920 --> 01:43:43,300",到时候得全神贯注才行
Cosine,5,812,0.16137548989736106,"(0.44579864, 0.16698928, 0.3033168)","(0.41247517, 0.73697305, 0.71374)","01:36:32,200 --> 01:36:35,370",It does not do to dwell on dreams...,"01:36:32,200 --> 01:36:35,370",人不能活在梦里
Cosine,6,460,0.15491796634585053,"(0.49913335, 0.08457413, 0.26153415)","(0.39386532, 0.3994579, 0.48733848)","00:52:33,440 --> 00:52:37,270",Our new celebrity.,"00:52:33,440 --> 00:52:37,270",我们这儿的新名人
Cosine,7,199,0.151553541529434,"(0.6911636, 0.64972275, 0.6679441)","(0.06181922, 0.5289325, 0.5543533)","00:25:23,070 --> 00:25:24,090",Hello?,"00:25:23,070 --> 00:25:24,090",有人吗？
Cosine,8,521,0.1388774943347083,"(0.06357582, 0.68616736, 0.7541276)","(0.63667285, 0.64693594, 0.68219876)","00:58:14,240 --> 00:58:16,200",What an idiot.,"00:58:14,240 --> 00:58:16,200",真是个大白痴
Cosine,9,1033,0.13493469489248888,"(0.40763974, 0.40986797, 0.4200576)","(0.08327493, 0.7186834, 0.7202412)","01:58:25,840 --> 01:58:29,510",They're not birds. They're keys.,"01:58:25,840 --> 01:58:29,510",那不是鸟 是钥匙
Cosine,10,469,0.12605458432270766,"(0.25802523, 0.0762992, 0.21471712)","(0.40523076, 0.57358116, 0.6499655)","00:53:16,400 --> 00:53:19,190","...is it, Mr. Potter?","00:53:16,400 --> 00:53:19,190",是不是啊 波特先生
Pearson,1,788,-0.9999934436752349,"(0.8436391, 0.6592629, 0.6844417)","(0.33836746, 0.74217343, 0.6885205)","01:34:29,870 --> 01:34:32,290",I look good.,"01:34:29,870 --> 01:34:32,290",我好威风
Pearson,2,426,-0.9999904096573278,"(0.5746586, 0.6440406, 0.69277805)","(0.7727392, 0.7405627, 0.7183154)","00:48:13,970 --> 00:48:17,350",This is the most direct path to the dormitories.,"00:48:13,970 --> 00:48:17,350",这是去寝室最快的一条路
Pearson,3,743,-0.9999895520708311,"(0.69040763, 0.5405445, 0.5684787)","(0.5440086, 0.6631303, 0.64146054)","01:26:17,000 --> 01:26:18,420",I see you haven't.,"01:26:17,000 --> 01:26:18,420",你没打包
Pearson,4,28,-0.9998993352038582,"(0.9489348, 0.69839686, 0.73414344)","(0.5505577, 0.7578623, 0.73128307)","00:04:57,000 --> 00:05:01,960","- Yes, Aunt Petunia.   - I want everything to be perfect...","00:04:57,000 --> 00:05:01,960",- 是 佩妮阿姨  - 我希望今天一切顺心
Pearson,5,948,-0.9995869869105259,"(0.7571548, 0.69389415, 0.7016569)","(0.31117603, 0.8459401, 0.79636157)","01:50:09,210 --> 01:50:11,500",but I found that rather enjoyable.,"01:50:09,210 --> 01:50:11,500",可是我倒觉得很轻松
Pearson,6,398,-0.9992595724304726,"(0.5985181, 0.5251286, 0.51883066)","(0.46929973, 0.58779967, 0.6038822)","00:45:23,300 --> 00:45:25,800","Not Slytherin, not Slytherin!","00:45:23,300 --> 00:45:25,800",不要斯莱特林 不要斯莱特林
Pearson,7,562,-0.9989910577212793,"(0.8793131, 0.7081114, 0.7309128)","(0.3387391, 0.7944729, 0.71324146)","01:02:05,550 --> 01:02:07,680",Alohomora.,"01:02:05,550 --> 01:02:07,680",阿洛哈呣啦
